LOGISTICAL_AREA,YEAR,MONTH,AREA,METHOD,ITEM,ADIPOSE_MODIFIER,DISPOSITION,RETAINABLE,ITEM_GROUP,ESTIMATE,VARIANCE
Victoria,2013,7,Area 20,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,1506.39,259300.09
Victoria,2013,7,Area 20,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,4550.98,1955211.72
Victoria,2013,7,Area 20,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,1004.96,173036.95
Victoria,2013,7,Area 20,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,335.78,27649.57
Port Renfrew,2013,7,Area 21,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,518.66,154135.38
Port Renfrew,2013,7,Area 21,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,64.04,4037.25
Port Renfrew,2013,7,Area 21,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,35.19,1202.81
Port Renfrew,2013,7,Area 22,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,48.79,2331.62
Port Renfrew,2013,7,Area 22,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,116.61,9669.48
Port Renfrew,2013,7,Area 22,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,49.21,2322.9
Barkley,2013,7,Area 23,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2442.73,527582.47
Barkley,2013,7,Area 23,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,1290.73,564697.04
Barkley,2013,7,Area 23,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,3915.38,939062.98
Barkley,2013,7,Area 23,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,4078.21,4715754.41
Barkley,2013,7,Area 23,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,5627.79,6346518.44
Barkley,2013,7,Area 23,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,935.04,131949.86
Barkley,2013,7,Area 23,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,1231.41,720736.32
Tofino,2013,7,Area 24,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,64.04,4037.25
Tofino,2013,7,Area 24,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,548.6,259663.2
Tofino,2013,7,Area 24,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,24.6,580.73
Tofino,2013,7,Area 24,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,35.19,1202.81
Tahsis/Nootka,2013,7,Area 25,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1637.68,180798.84
Tahsis/Nootka,2013,7,Area 25,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,1577.6,662550.28
Tahsis/Nootka,2013,7,Area 25,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,6064.83,1359521.96
Tahsis/Nootka,2013,7,Area 25,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,3773.65,2295366.7
Tahsis/Nootka,2013,7,Area 25,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,3192.04,1022751.42
Tahsis/Nootka,2013,7,Area 25,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,2058.21,493217.83
Tahsis/Nootka,2013,7,Area 25,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,3170.35,1609261.06
Kyuquot,2013,7,Area 26,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,214.64,9044.32
Kyuquot,2013,7,Area 26,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,119.17,9971.35
Kyuquot,2013,7,Area 26,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,353.61,30233.84
Kyuquot,2013,7,Area 26,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,251.65,27912.99
Kyuquot,2013,7,Area 26,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,603.66,166064.06
Kyuquot,2013,7,Area 26,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,561.5,90074.92
Kyuquot,2013,7,Area 26,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,486.34,199197.31
Winter Harbour,2013,7,Area 27,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,291.35,33464.7
Winter Harbour,2013,7,Area 27,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2343.32,451813.9
Winter Harbour,2013,7,Area 27,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,1430.23,361641.28
Winter Harbour,2013,7,Area 27,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,2910.54,4119547.77
Winter Harbour,2013,7,Area 27,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,489.88,98038.94
Winter Harbour,2013,7,Area 27,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,153.78,23185.87
Vancouver,2013,7,Area 28,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,192.12,36335.27
Vancouver,2013,7,Area 28,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,35.19,1202.81
Vancouver,2013,7,Area 28,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,192.12,36335.27
Vancouver,2013,7,Area 28,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,981.16,224307.59
Vancouver,2013,7,Area 28,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,128.08,16149.01
Vancouver,2013,7,Area 28,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,320.21,100931.3
Vancouver,2013,7,Area 28,Angling from shore,Chinook,Not Applicable,Released,Sublegal Size,SALMON,64.04,4037.25
Vancouver,2013,7,Area 29,Angling from shore,Chinook,Not Applicable,Released,Sublegal Size,SALMON,51.26,2576.21
Prince Rupert,2013,7,Area 3,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,135.33,7176.5
Prince Rupert,2013,7,Area 3,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,910.15,114959.13
Prince Rupert,2013,7,Area 3,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,456.15,70160.33
Prince Rupert,2013,7,Area 3,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,120.08,14058.72
Prince Rupert,2013,7,Area 3,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,50.07,2407.09
Prince Rupert,2013,7,Area 3,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,450.65,194974.25
Prince Rupert,2013,7,Area 4,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,95.85,5349.36
Prince Rupert,2013,7,Area 4,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2142.33,422043.09
Prince Rupert,2013,7,Area 4,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,1132.56,308264.67
Prince Rupert,2013,7,Area 4,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,64.04,4037.25
Prince Rupert,2013,7,Area 4,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,62.47,1920.17
Central Coast,2013,7,Area 5,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,109.15,11477.8
Central Coast,2013,7,Area 6,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,147.11,16492
Central Coast,2013,7,Area 6,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,432.6,29695.09
Central Coast,2013,7,Area 6,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,228.47,27709.64
Central Coast,2013,7,Area 6,Angling from shore,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,27.29,717.36
Central Coast,2013,7,Area 7,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1302.43,212159.04
Central Coast,2013,7,Area 7,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,606.76,169628.39
Central Coast,2013,7,Area 7,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,729.05,135288.89
Central Coast,2013,7,Area 7,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,2837.16,6999297.1
Central Coast,2013,7,Area 8,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,196.36,10457.53
Central Coast,2013,7,Area 8,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,40.03,1562.08
Central Coast,2013,7,Area 8,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,120.08,14058.72
Central Coast,2013,7,Area 9,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,175.54,24526.33
Central Coast,2013,7,Area 9,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,104.07,5599.33
Central Coast,2013,7,Area 9,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,64.04,4037.25
Central Coast,2013,7,Area 9,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,78.26,6045.84
Haida Gwaii,2013,8,Area 1,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,180.01,22244.92
Haida Gwaii,2013,8,Area 1,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2030.91,817672.96
Haida Gwaii,2013,8,Area 1,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,637.77,255802.2
Haida Gwaii,2013,8,Area 1,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,608.84,79605.86
Haida Gwaii,2013,8,Area 1,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,337.06,64521.46
Central Coast,2013,8,Area 10,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,146.44,21151.75
Central Coast,2013,8,Area 10,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,292.88,84606.98
Central Coast,2013,8,Area 10,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,213.99,24540.59
Central Coast,2013,8,Area 10,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,219.66,47591.43
Prince Rupert,2013,8,Area 104,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,105.58,10829.62
Central Coast,2013,8,Area 106,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,35.19,1203.29
Central Coast,2013,8,Area 108,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,390.72,151877.73
Port Hardy,2013,8,Area 11,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,413.09,48102.8
Port Hardy,2013,8,Area 11,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,955.25,184781.05
Port Hardy,2013,8,Area 11,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,653.27,201485.78
Port Hardy,2013,8,Area 11,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,574.46,149892.5
Port Hardy,2013,8,Area 11,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,244,30026.54
Port Hardy,2013,8,Area 11,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,244,58316
Port Hardy,2013,8,Area 111,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,47.27,2187.32
Port Hardy,2013,8,Area 12,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,408.19,59437.34
Port Hardy,2013,8,Area 12,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,66.51,4357.53
Port Hardy,2013,8,Area 12,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1676.29,313627.9
Port Hardy,2013,8,Area 12,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,2219.16,2167109.76
Port Hardy,2013,8,Area 12,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,5208.87,4171335.67
Port Hardy,2013,8,Area 12,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,217.85,16438.19
Port Hardy,2013,8,Area 12,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,248.64,16033.29
Port Renfrew,2013,8,Area 121,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,963.11,102177.92
Port Renfrew,2013,8,Area 121,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,83.99,3535.93
Port Renfrew,2013,8,Area 121,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1224.43,211191.41
Port Renfrew,2013,8,Area 121,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,947.29,183158.97
Port Renfrew,2013,8,Area 121,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,102.33,5575.98
Port Renfrew,2013,8,Area 121,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,1046.79,246085.22
Port Renfrew,2013,8,Area 121,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,704.17,214789.22
Barkley,2013,8,Area 123,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2634.66,841764.28
Barkley,2013,8,Area 123,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,1053.49,207327.49
Barkley,2013,8,Area 123,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,6488.66,1771265.97
Barkley,2013,8,Area 123,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,11419.83,23676982.22
Barkley,2013,8,Area 123,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,3770.8,1689802.28
Barkley,2013,8,Area 123,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,2844.75,530819.01
Barkley,2013,8,Area 123,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,3841.61,2493358.67
Tofino,2013,8,Area 124,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,632.41,110337.55
Tofino,2013,8,Area 124,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1214.56,157560.18
Tofino,2013,8,Area 124,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,40.97,1637.27
Tofino,2013,8,Area 124,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,972.95,335024.21
Tofino,2013,8,Area 124,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,565.91,69420.13
Tofino,2013,8,Area 124,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,966.45,468203.3
Tahsis/Nootka,2013,8,Area 125,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1716.34,388087.12
Tahsis/Nootka,2013,8,Area 125,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,1024.03,280325.8
Tahsis/Nootka,2013,8,Area 125,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,3754.44,1278978.09
Tahsis/Nootka,2013,8,Area 125,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,4303.81,3143673.21
Tahsis/Nootka,2013,8,Area 125,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,782.25,138058.95
Tahsis/Nootka,2013,8,Area 125,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,1294.52,197439.39
Tahsis/Nootka,2013,8,Area 125,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,2123.97,2132528.01
Kyuquot,2013,8,Area 126,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,367.1,69038.29
Kyuquot,2013,8,Area 126,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,3581.51,1697785.28
Kyuquot,2013,8,Area 126,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,195.36,37969.43
Kyuquot,2013,8,Area 126,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,244.16,40302.07
Kyuquot,2013,8,Area 126,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,572.33,69054.91
Kyuquot,2013,8,Area 126,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,154.38,13162.26
Winter Harbour,2013,8,Area 127,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,409.99,48553.63
Winter Harbour,2013,8,Area 127,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,338.1,112961.72
Winter Harbour,2013,8,Area 127,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2599.02,880201.31
Winter Harbour,2013,8,Area 127,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,1136.53,408417.36
Winter Harbour,2013,8,Area 127,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,131.8,9247.42
Winter Harbour,2013,8,Area 127,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,776.81,116461.04
Campbell River,2013,8,Area 13,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,857.07,165648.11
Campbell River,2013,8,Area 13,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,717.23,237776.94
Campbell River,2013,8,Area 13,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2795.14,806096.55
Campbell River,2013,8,Area 13,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,1769.92,597783.76
Campbell River,2013,8,Area 13,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,4209.07,1532874.12
Campbell River,2013,8,Area 13,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,81.93,6549.07
Campbell River,2013,8,Area 13,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,97.6,9330.56
Campbell River,2013,8,Area 14,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,790.73,121225.29
Campbell River,2013,8,Area 14,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,982.4,299934.71
Campbell River,2013,8,Area 14,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1440.64,393566.74
Campbell River,2013,8,Area 14,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,253.58,21136.33
Campbell River,2013,8,Area 14,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,4658.41,3113564.95
Campbell River,2013,8,Area 14,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,455.84,65430.79
Campbell River,2013,8,Area 14,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,105.58,10829.62
Campbell River,2013,8,Area 14,Angling from shore,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,84.53,7060.11
Haida Gwaii,2013,8,Area 142,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,195.2,37322.24
Haida Gwaii,2013,8,Area 142,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,195.2,37322.24
Haida Gwaii,2013,8,Area 142,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,169.05,28240.43
Sunshine Coast,2013,8,Area 15,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,242.27,19393.49
Sunshine Coast,2013,8,Area 15,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,1200.79,281378.31
Sunshine Coast,2013,8,Area 15,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,1352.41,662462.43
Sunshine Coast,2013,8,Area 15,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,2019.29,887986.91
Sunshine Coast,2013,8,Area 15,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,73.22,5287.94
Sunshine Coast,2013,8,Area 16,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,169.05,28240.43
Sunshine Coast,2013,8,Area 16,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,676.21,451846.88
Nanaimo,2013,8,Area 17,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,664.9,96805.4
Nanaimo,2013,8,Area 17,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,664.9,209884.43
Nanaimo,2013,8,Area 17,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,400.02,42288.08
Nanaimo,2013,8,Area 17,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,250.98,20654.62
Nanaimo,2013,8,Area 17,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,5509.95,9354374.52
Nanaimo,2013,8,Area 17,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,286.18,35992.79
Nanaimo,2013,8,Area 18,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,169.05,14105.55
Nanaimo,2013,8,Area 18,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,327.31,23761.88
Nanaimo,2013,8,Area 18,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,169.05,28240.43
Nanaimo,2013,8,Area 18,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,40.97,1637.27
Nanaimo,2013,8,Area 18,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,195.36,37969.43
Victoria,2013,8,Area 19,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,487.48,50415.83
Victoria,2013,8,Area 19,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,253.58,63540.97
Victoria,2013,8,Area 19,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,668.18,172474.51
Victoria,2013,8,Area 19,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,691.21,163220.55
Victoria,2013,8,Area 19,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,422.63,77558.54
Victoria,2013,8,Area 19,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,383.39,32515.74
Victoria,2013,8,Area 19,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,169.05,28240.43
Haida Gwaii,2013,8,Area 2,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,390.72,151877.73
Haida Gwaii,2013,8,Area 2,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,4115.79,1791918.58
Haida Gwaii,2013,8,Area 2,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,1425.63,1600652.29
Haida Gwaii,2013,8,Area 2,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,586.9,95277.64
Haida Gwaii,2013,8,Area 2,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,193.28,19548.57
Victoria,2013,8,Area 20,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,3404.42,727483.18
Victoria,2013,8,Area 20,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,575.4,62002.13
Victoria,2013,8,Area 20,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,9790.79,3313726.3
Victoria,2013,8,Area 20,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,3497.18,3906301.14
Victoria,2013,8,Area 20,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,9907.63,8785536.42
Victoria,2013,8,Area 20,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,1613.47,416352.28
Victoria,2013,8,Area 20,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,380.2,71558.91
Victoria,2013,8,Area 20,Angling from shore,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,48.8,2332.64
Port Renfrew,2013,8,Area 21,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,371.67,57515.38
Port Renfrew,2013,8,Area 21,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,390.72,75422.27
Port Renfrew,2013,8,Area 21,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,2069.28,767909.01
Port Renfrew,2013,8,Area 21,Angling from boat,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),SALMON,373.3,114165.01
Port Renfrew,2013,8,Area 21,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,338.1,112961.72
Port Renfrew,2013,8,Area 21,Angling from boat,Chinook,Not Checked,Kept,Legal Size (All or Lower),SALMON,431.68,153515
Port Renfrew,2013,8,Area 21,Angling from boat,Chinook,Not Checked,Released,Legal Size (All or Lower),SALMON,195.36,37969.43
Port Renfrew,2013,8,Area 22,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,586.07,341724.89
Port Renfrew,2013,8,Area 22,Angling from boat,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),SALMON,489.76,180875.38
Port Renfrew,2013,8,Area 22,Angling from boat,Chinook,Not Applicable,Released,Sublegal Size,SALMON,475.24,158937.84
Barkley,2013,8,Area 23,Angling from boat,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),SALMON,692.94,131536.94
Barkley,2013,8,Area 23,Angling from boat,Chinook,Adipose Marked,Released,Legal Size (All or Lower),SALMON,338.1,56422.21
